player_id,player,player_role,key_cricinfo,role,final_role
004c9e85,PJ Hughes,Batter,272364,Opening Batter,Batter
008589a4,CM Wright,Unclassified,25123,Bowler,Bowler
00d69fa4,SO Tikolo,Batter,24728,Allrounder,Allrounder
00ea847a,MA Agarwal,Batter,398438,Batter,Batter
00ea9791,HP Tillakaratne,Batter,50744,Batter,Batter
012829ff,JW Hastings,All-Rounder,228622,Allrounder,Allrounder
0164b064,MG Neser,Unclassified,376169,Bowling Allrounder,Bowling Allrounder
016e5101,M Shezi,Unclassified,230860,Bowler,Bowler
017faef2,Z Groenewald,Bowler,446860,Allrounder,Allrounder
0184dc35,R Dravid,Batter,28114,Top order Batter,Batter
0226b73a,Imran Haider,Bowler,943275,Bowler,Bowler
023f6b02,Nadeem Ahmed,Bowler,24230,Bowler,Bowler
024a173d,J Nyumbu,Unclassified,55666,Bowler,Bowler
024fe464,PD McGlashan,Batter,37770,Wicketkeeper Batter,Batter
02789d88,Shamsur Rahman,Batter,56154,Opening Batter,Batter
02e83ac5,Naeem Islam,Batter,56054,Allrounder,Allrounder
03252e44,PA Jaques,Batter,6060,Opening Batter,Batter
034b4b7d,VRV Singh,Unclassified,35281,,Unclassified
03521fd3,HM Nicholls,Batter,539511,Top order Batter,Batter
035cb925,AG Prince,Batter,46788,Top order Batter,Batter
03806cf8,JR Hazlewood,Bowler,288284,Bowler,Bowler
03ce169b,Faisal Athar,Batter,40113,,Batter
03d3dd8e,AF Buurman,Unclassified,24996,Wicketkeeper Batter,Batter
04029c44,Munir Dar,Unclassified,220613,Allrounder,Allrounder
0404d43c,Liton Das,Batter,536936,Wicketkeeper Batter,Batter
047945ae,BO van Rooi,Unclassified,24798,,Unclassified
047c67ba,Saqlain Mushtaq,Bowler,42628,Bowler,Bowler
047d9032,JJ Krejza,Unclassified,6235,Bowler,Bowler
0480aba6,Enamul Haque jnr,Bowler,55882,Bowler,Bowler
04a418e8,R Parag,Unclassified,1079434,Top order Batter,Batter
04f4f2e1,Saqib Ali,Batter,42746,Batter,Batter
053f3ce3,D Ravu,Unclassified,1122557,Bowler,Bowler
0557a636,RT Crandon,Unclassified,275943,Batter,Batter
056f58dd,KC Hodsoll,Unclassified,307235,Middle order Batter,Batter
05c2ca46,RE van der Merwe,Batter,47850,Bowling Allrounder,Bowling Allrounder
05d74535,Saeed Ajmal,Bowler,42699,Bowler,Bowler
05da443b,Adnan Akmal,Unclassified,39038,Wicketkeeper Batter,Batter
05de1a5a,GC Wilson,Batter,24609,Wicketkeeper Batter,Batter
05e0fab5,CS Martin,Unclassified,37700,Bowler,Bowler
05f96194,MA Jones,Batter,1093091,Top order Batter,Batter
0604ef16,SB Bangar,Unclassified,27225,,Unclassified
0605de92,HD Rutherford,Batter,331375,Opening Batter,Batter
068c47d2,JJ Davidson,Bowler,1195676,Bowler,Bowler
06a9d298,A Patel,Bowler,23770,,Bowler
06c2de82,L Gregory,All-Rounder,362201,Allrounder,Allrounder
06cad4f0,A Sharafu,Batter,1161038,Opening Batter,Batter
06e649a0,RK Whelan,Unclassified,245186,Bowler,Bowler
0730a707,SI Kamea,Bowler,1115025,Bowler,Bowler
074acfb4,Asif Khan,Batter,315232,Batter,Batter
075e9f9c,Moniruzzaman,Batter,56011,,Batter
07687c15,Sultan Ahmed,Unclassified,873769,Bowler,Bowler
